Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,Zipcode,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,GGMC Parking - 550 W 25th - Tesla Destination,550  W 25th St,,New York,NY,10001,,212-929-0443  877-798-3752,E,,Public,24 hours daily; see valet for access,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.749666,-74.005485,9/30/2019,115160,3/2/2020 20:14,P,,,1/1/2016,J1772 TESLA
ELEC,Standard Parking 800 6th Ave - Tesla Destination,54 W 28th St,,New York,NY,10001,,800-836-6666  877-798-3752,E,,Public - Call ahead,24 hours daily; for customer use only,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.745449,-73.989622,9/30/2019,115155,3/2/2020 20:14,P,,,9/1/2017,J1772 TESLA
ELEC,Central Parking - Tower 31,9 W 31st Street,,New York,NY,10001,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,40.74709,-73.98667,4/1/2020,95069,4/1/2020 8:08,,,,,J1772
ELEC,Eventi Hotel - LAZ,851 Avenue of the Americas,,New York,NY,10001,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.758681,-73.98135,4/1/2020,124149,4/1/2020 8:08,,,,,J1772
ELEC,MPG 530 West 30th - Tesla Destination,530 W 30th,,New York,NY,10001,,212-490-3474  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.752558,-74.002736,9/30/2019,115152,3/2/2020 20:14,P,,,11/1/2018,J1772 TESLA
ELEC,iPark 200 West Garage Corp. - Tesla Destination,220 W 26th St,,New York,NY,10001,,646-486-2148  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.746142,-73.995221,9/30/2019,115055,3/2/2020 20:14,P,,,11/1/2018,J1772 TESLA
ELEC,Quik Park Garden Lots LLC - Tesla Destination,126 West 32nd St,,New York,NY,10001,,212-564-2627  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.748789,-73.989915,9/30/2019,115009,3/2/2020 20:14,P,,,1/1/2016,J1772 TESLA
ELEC,776 Sixth Avenue,776 Avenue of the Americas,Enter Parking garage on 26th Ave. Between 6th Ave. and Broadway (North Side). See valet to use charging station.,New York,NY,10001,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.74528,-73.991422,4/1/2020,124142,4/1/2020 8:08,,,,,J1772
ELEC,MPG 500 West 30th - Tesla Destination,500 W 30th,,New York,NY,10001,,212-490-3474  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.751987,-74.001701,9/30/2019,115145,3/2/2020 20:14,P,,,11/1/2018,J1772 TESLA
ELEC,iPark Eleventh Avenue Garage Corp. - Tesla Destination,552 W 30th St,,New York,NY,10001,,212-967-7872  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.752693,-74.002954,9/30/2019,115161,3/2/2020 20:14,P,,,9/1/2017,J1772 TESLA
