access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr
private,,,,2019-04-08,,ELEC,Private,35272,2009-11-15,P,E,New York Institute of Technology - Old Westbury Solar Carport Station,,2020-01-21T18:34:38Z,COLLEGE_CAMPUS,GPS,40.814019,-73.608978,Old Westbury,Route 25A,,NY,Valentines Ln & Northern Blvd,11568,US,,,,,,,,,,,['NEMA520'],,4,,Non-Networked,,,,SOLAR,,,,,,,,,,,,,,,Privé,
private,Employee and guest use only,,,2019-12-12,,ELEC,Private,35562,2008-07-01,P,E,New York State Energy Research Development Authority - Headquarters,,2020-01-21T18:34:38Z,STATE_GOV,200-9,42.702424,-73.857693,Albany,,,NY,17 Columbia Cir,12203,US,,,,,,,,,,,"['J1772', 'NEMA520']",,1,5,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
private,Employee and guest use only,,,2020-03-03,,ELEC,Private,35563,2008-07-01,SG,E,Saratoga Technology & Energy Park,,2020-03-03T21:13:47Z,RESEARCH_FACILITY,200-9,42.969823,-73.773021,Malta,,,NY,10 Hermes Rd,12020,US,,,,,,,,,,,['NEMA520'],,2,,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
private,,,,2020-03-03,,ELEC,Private,35564,2009-10-01,T,E,Central Hudson Gas & Electric,,2020-03-03T21:13:47Z,UTILITY,200-9,41.688323,-73.93433,Poughkeepsie,,,NY,284 South Ave,12601,US,,,,,,,,,,,['NEMA520'],,4,,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,7am-10pm M-Sat,,,2020-03-03,,ELEC,Public,36532,2010-10-15,SG,E,Hudson Valley Community College - TEC-SMART Building,518-629-7075,2020-03-03T21:13:47Z,COLLEGE_CAMPUS,GPS,42.97167,-73.774182,Malta,,,NY,345 Hermes Rd,12020,US,,,,,,,,,,,['NEMA520'],,1,,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,
public,24 hours daily,,,2020-04-04,,ELEC,Public,36945,,,E,EDISONPARKFAST,888-758-4389,2020-04-04T09:19:44Z,,200-9,40.7546106,-73.9959708,New York,LOC #250 #2,,NY,451 Ninth Ave,10018,US,,,,,,,,,,,['J1772'],,,1,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:113861'], 'ports': ['1']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,38981,,,E,EDISONPARKFAST,888-758-4389,2020-04-04T09:19:44Z,,200-8,40.7558587,-73.9824966,New York,"LOC #100 LEVEL3; Located in basement level of Hippodrome Garage, Edison ParkFast",,NY,50 W 44th St,10036,US,,,,,,,,,,,['CHADEMO'],1,,,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:90837'], 'ports': ['1']}"
private,,,,2019-12-12,,ELEC,TEMPORARILY UNAVAILABLE (Private),41240,,FG,T,James J Peters VA Medical Center,,2020-01-21T18:34:38Z,HOSPITAL,GPS,40.86887741,-73.90350342,Bronx,JJPVA Motor Pool,,NY,130 W Kingsbridge Rd,10468,US,,,,,,,,,,,"['J1772', 'NEMA520']",,2,2,Non-Networked,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Privé),,"{'id': 19, 'code': 'VA', 'name': 'Department of Veterans Affairs'}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,41260,,,E,TOWN OF BABYLON,888-758-4389,2020-04-04T09:19:44Z,,200-9,40.728093,-73.330478,North Babylon,"TOWN ANNEX 1; Left side station 
TOWN ANNEX 2; Right side station ",,NY,281 Phelps Ln,11703,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:315921', '1:357671'], 'ports': ['1']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,41753,,,E,EVPASS,888-758-4389,2020-04-04T09:19:44Z,,200-9,43.048831,-76.148959,Syracuse,"HILL-1; 2 units at Hill Building parking lot
HILLS - 2; 2 units at Hill Building parking lot",,NY,217 Montgomery Street,13202,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"$0.49 per kWh, minimum payment of $1",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:50103', '1:50203'], 'ports': ['1']}"
private,Employee and student use only; parking permit required,,,2020-03-03,,ELEC,Private,41754,2011-10-01,SG,E,State University of New York - School of Environmental Science and Forestry,,2020-03-03T21:13:47Z,COLLEGE_CAMPUS,GPS,43.034109,-76.140932,Syracuse,"Centennial Hall, Located outside of physical plant garage",,NY,142 Oakland St,13210,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,24 hours daily,,,2020-04-04,,ELEC,Public,41756,,,E,EVPASS,888-758-4389,2020-04-04T09:19:44Z,,200-9,43.04166,-76.120004,Syracuse,"UR DELL-1; 2 units in lot in front of Taste of India
UR DELL-2; 2 units in lot in front of Taste of India",,NY,124 Dell Street,13210,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"$0.49 per kWh, minimum payment of $1",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:50243', '1:50293'], 'ports': ['1']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,41757,,,E,EVPASS,888-758-4389,2020-04-04T09:19:44Z,,200-9,43.0417137,-76.119545,Syracuse,UR WSCT-1; 3 units in lot in front of Papa John's Pizza,,NY,508 Westcott St,13210,US,,,,,,,,,,,['J1772'],,,1,ChargePoint Network,http://www.chargepoint.com/,,"$0.49 per kWh, minimum payment of $1",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:50023'], 'ports': ['1']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,41854,,,E,EVPASS,888-758-4389,2020-04-04T09:19:44Z,,GPS,43.0334778,-76.0182877,Fayetteville,"FYTCT-1; 3 Units in lot on left entering from N Burdick St
FYTCT-2; 3 Units in lot on left entering from N Burdick St
FYTCT-3; 3 Units in lot on left entering from N Burdick St",,NY,599 Towne Dr,13066,US,,,,,,,,,,,['J1772'],,,3,ChargePoint Network,http://www.chargepoint.com/,,"$0.49 per kWh, minimum payment of $1",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:46003', '1:50303', '1:50353'], 'ports': ['1']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,41859,,,E,EVPASS,888-758-4389,2020-04-04T09:19:44Z,,200-9,43.212913,-75.458988,Rome,"R CH-2; 3 units at lot, entry near corner of N Washington St
R CH-3; 3 units at lot, entry near corner of N Washington St",,NY,143 N Washington St,13440,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"$0.49 per kWh, minimum payment of $1",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:50073', '1:50083'], 'ports': ['1']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,41861,,,E,EVPASS,888-758-4389,2020-04-04T09:19:44Z,,GPS,43.223629,-75.4469604,Rome,R FF-1; 1 unit at lot near corner of N James St,,NY,150 East Locust St,13440,US,,,,,,,,,,,['J1772'],,,1,ChargePoint Network,http://www.chargepoint.com/,,"$0.49 per kWh, minimum payment of $1",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:49893'], 'ports': ['1']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,41862,,,E,EVPASS,888-758-4389,2020-04-04T09:19:44Z,,GPS,43.227211,-75.459671,Rome,R GF-1; 1 unit located at lot near corner of Laurel St,,NY,869 Kent Street,13440,US,,,,,,,,,,,['J1772'],,,1,ChargePoint Network,http://www.chargepoint.com/,,"$0.49 per kWh, minimum payment of $1",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:50193'], 'ports': ['1']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,41863,,,E,EVPASS,888-758-4389,2020-04-04T09:19:44Z,,GPS,43.2188454,-75.4631882,Rome,R JFKA-1; 1 unit at lot in front of poolhouse at corner of N Jay St,,NY,506 West Embargo Street,13440,US,,,,,,,,,,,['J1772'],,,1,ChargePoint Network,http://www.chargepoint.com/,,"$0.49 per kWh, minimum payment of $1",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:49913'], 'ports': ['1']}"
