Zipcode,Current Population,EVs on the Road,BEVs per 1k People,PHEVs per 1k People,DCFC Ports,Level 2 Ports,DCFC per 1k People,Level 2 per 1k People,Sum of Travel Time to Work (Less than 10 minutes),Sum of Travel Time to Work (10 to 14 minutes),Sum of Travel Time to Work (15 to 19 minutes),Sum of Travel Time to Work (20 to 24 minutes),Sum of Travel Time to Work (25 to 29 minutes),Sum of Travel Time to Work (30 to 34 minutes),Sum of Travel Time to Work (35 to 44 minutes),Sum of Travel Time to Work (45 to 59 minutes),Sum of Travel Time to Work (60 or more minutes),Sum of Median Household Income in Past 12 Months,ChargePoint Network (hours),EV Connect (hours),GE WattStation(hours),ChargePoint Network (kWh),EV Connect (kWh),GE WattStation (kWh),ChargePoint Network (count),EV Connect (count),GE WattStation (count),Total Sum of Charging Time (hours),Total Sum of Energy (kWh),Total Sum of Active Station Count
New York,"19,798,084","94,732",2.39,2.39,498,"3,461",0.6,3.26,6225106,6636193,7240567,7605431,3202811,8534945,4706280,6316645,10066421,"($435,907,227,393.00)",41391,6780,11472,1483915.402,221638.701,223789.314,6625,1805,2238,59643,1929343.417,10668
Albany County,"289,086","2,570",4.45,4.45,37,215,40.65,221.56,133906,172238,210254,178900,62804,103737,39059,29947,28071,"($8,651,786,006.00)",2331,313,2724,60815.339,8892.108,81917.451,425,155,645,5368,151624.898,1225
12007,0,,,,,,,,0,43,0,0,0,35,45,0,0,"($2,666,469,551.00)",,,,,,,,,,,,
12009,"7,841",76,4.85,4.85,1,,515.5,"4,030.86",2702,2697,3098,4439,3186,5041,2314,1458,660,"$594,351.00 ",,,,,,,,,,,,
12023,"2,108",20,4.74,4.74,,,72.58,"2,310.25",738,479,403,605,533,612,1741,1541,490,"$437,166.00 ",,,,,,,,,,,,
12041,676,4,2.96,2.96,,,226.33,"7,204.14",121,109,188,350,531,130,214,132,34,"$408,688.00 ",,,,,,,,,,,,
12045,347,2,2.88,2.88,,2,"20,910.66","134,997.12",514,30,3,175,145,343,44,25,41,"$307,517.00 ",,,,,,,,,,,,
12046,"1,069",4,1.87,1.87,,,143.12,"4,555.66",183,229,438,470,450,407,409,135,231,"$538,071.00 ",,,,,,,,,,,,
12047,"20,765",128,3.08,3.08,,10,355.89,"2,303.44",8306,8565,16865,15621,5404,7520,2640,1793,1469,"$350,302.00 ",,,,,,,,,,,,
12054,"17,100",252,7.37,7.37,,2,665.85,"3,687.13",6944,8726,12427,14520,4285,6275,1574,1459,1222,"$669,683.00 ",363,,,2539.117,,,65,,,363,2539.117,65
12059,"1,657",10,3.02,3.02,,,92.34,"2,939.05",175,334,348,415,438,1267,1543,962,338,"$530,685.00 ",,,,,,,,,,,,
12067,"1,619",16,4.94,4.94,,,94.5,"3,008.03",496,613,573,674,539,836,825,293,298,"$468,147.00 ",,,,,,,,,,,,
12077,"6,701",64,4.78,4.78,,4,549.77,"4,388.00",2077,3257,4763,4547,1809,2299,508,1071,497,"$615,288.00 ",,,292,,,5224.733,,,84,292,5224.733,84
12084,"4,960",34,3.43,3.43,,8,"1,865.93","11,439.31",1543,2873,3352,3116,1472,2511,805,375,585,"$496,878.00 ",,,,,,,,,,,,
12085,448,,,,,,341.52,"10,870.54",155,145,235,208,103,421,111,20,0,"$338,298.00 ",,,,,,,,,,,,
12110,"22,684",140,3.09,3.09,,25,485.19,"2,741.01",11568,14081,15619,16018,4659,6576,2111,1326,1583,"$525,450.00 ",652,,716,19367.596,,26788.086,95,,241,1368,46155.682,336
12120,587,8,6.81,6.81,,,260.65,"8,296.42",194,97,197,215,29,232,240,396,221,"$373,719.00 ",,,,,,,,,,,,
12128,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12143,"4,750",22,2.32,2.32,,,32.21,"1,025.26",2279,1660,1242,2945,2506,3163,1739,661,484,"$382,660.00 ",,,,,,,,,,,,
12147,586,2,1.71,1.71,,,261.09,"8,310.58",179,122,99,155,34,175,160,251,314,"$461,704.00 ",,,,,,,,,,,,
12158,"7,116",68,4.78,4.78,,2,158.23,"2,206.44",2611,2458,3618,5415,2932,3320,1586,872,1493,"$553,612.00 ",530,,,5788.952,,,50,,,530,5788.952,50
12159,"7,614",132,8.67,8.67,,4,"1,221.83","7,662.73",2713,4281,6396,6042,2273,2893,675,780,689,"$619,218.00 ",,,712,,,22722.058,,,130,712,22722.058,130
12161,187,2,5.35,5.35,,,818.18,"26,042.78",0,83,190,28,27,333,76,0,0,"($1,332,890,854.00)",,,,,,,,,,,,
12183,"2,621",4,0.76,0.76,,,58.37,"1,858.07",1642,1916,2429,1245,728,510,481,52,227,"$377,258.00 ",,,,,,,,,,,,
12186,"6,232",90,7.22,7.22,1,1,"1,490.69","9,297.66",2293,1702,2530,4928,2533,4405,1413,453,452,"$607,692.00 ",,,,,,,,,,,,
12189,"17,650",98,2.78,2.78,,28,643.74,"3,567.37",7757,10536,14949,14524,3813,6741,2091,1410,1929,"$339,500.00 ",,,,,,,,,,,,
12193,"1,845",8,2.17,2.17,,,82.93,"2,639.57",249,438,150,614,308,1435,1616,1060,424,"$511,062.00 ",,,,,,,,,,,,
12201,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12202,"9,312",18,0.97,0.97,,,16.43,522.98,3469,5784,5145,3918,1509,3603,1318,1059,1461,"$198,279.00 ",,,,,,,,,,,,
12203,"31,125",224,3.6,3.6,20,31,299.69,"1,879.94",15856,24955,25367,15639,4485,9396,3035,2791,3011,"$374,176.00 ",786,,,33119.674,,,215,,,786,33119.674,215
12204,"7,518",46,3.06,3.06,,,20.35,647.78,3637,7056,6434,4057,1300,1745,464,725,989,"$357,576.00 ",,,,,,,,,,,,
12205,"26,480",130,2.45,2.45,13,31,424.02,"2,363.82",17069,17826,22384,18461,4632,9471,2779,2547,2495,"$449,551.00 ",,,503,,,5365.224,,,100,503,5365.224,100
12206,"16,036",38,1.18,1.18,2,19,732.85,"3,994.08",6467,7356,9310,7273,2180,4276,1373,1557,1060,"$193,945.00 ",,,,,,,,,,,,
12207,"1,642",240,73.08,73.08,,22,"5,660.17","35,348.96",422,338,575,832,186,376,58,69,202,"$84,665.00 ",,,,,,,,,,,,
12208,"21,736",178,4.09,4.09,,8,531.38,"2,919.99",11703,17883,22310,13027,4972,5921,1564,1589,1957,"$401,844.00 ",,,,,,,,,,,,
12209,"10,452",52,2.49,2.49,,4,777.65,"5,094.53",6466,7413,7908,5841,1902,4891,1416,724,1497,"$384,271.00 ",,,,,,,,,,,,
12210,"9,372",48,2.56,2.56,,,16.33,519.63,5127,6854,8497,5565,1450,3249,873,1476,713,"$281,849.00 ",,,501,,,21817.35,,,90,501,21817.35,90
12211,"11,362",116,5.1,5.1,,2,817.99,"5,113.98",5376,8358,11086,5954,1219,2818,465,351,664,"$655,563.00 ",,313,,,8892.108,,,155,,313,8892.108,155
12212,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
12222,"6,261",14,1.12,1.12,,6,868.07,"7,036.42",2810,2745,859,768,147,380,389,121,51,"($4,666,666,662.00)",,,,,,,,,,,,
